epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,43783.4,0.98253,0.43542,1.14175,0.97521,0.98701,0.9783,0.69173,1.12305,0.38949,1.29426,0.000198202,0.000198202,0.000198202
89,44252.8,0.98246,0.43772,1.14054,0.9728,0.9872,0.97586,0.68678,1.12576,0.39651,1.2933,0.000184055,0.000184055,0.000184055
90,44753.6,0.96975,0.43328,1.1346,0.97499,0.98732,0.97792,0.69425,1.12624,0.39536,1.29501,0.000169908,0.000169908,0.000169908
91,45252.3,0.96956,0.35174,1.19512,0.97415,0.98447,0.97939,0.68898,1.12467,0.39574,1.29981,0.000155761,0.000155761,0.000155761
92,45784.7,0.96538,0.34853,1.19251,0.97595,0.98987,0.97959,0.69218,1.12735,0.39396,1.29523,0.000141614,0.000141614,0.000141614
93,46244.6,0.96271,0.34615,1.19406,0.97252,0.98774,0.97813,0.69305,1.11995,0.39434,1.29399,0.000127467,0.000127467,0.000127467
94,46725.8,0.95467,0.34074,1.18825,0.97291,0.98908,0.97851,0.69109,1.12672,0.39316,1.2993,0.00011332,0.00011332,0.00011332
95,47211.4,0.95498,0.34629,1.18356,0.97495,0.98651,0.97859,0.69544,1.12341,0.39474,1.29689,9.91726e-05,9.91726e-05,9.91726e-05
96,47744.8,0.94744,0.33847,1.17611,0.97189,0.98683,0.97838,0.69462,1.12753,0.39682,1.30142,8.50255e-05,8.50255e-05,8.50255e-05
97,48203.6,0.94325,0.33595,1.17501,0.97342,0.98633,0.97789,0.69446,1.12963,0.39383,1.30155,7.08784e-05,7.08784e-05,7.08784e-05
98,48683.8,0.94704,0.338,1.18025,0.97323,0.98633,0.97749,0.6928,1.12877,0.39431,1.30235,5.67313e-05,5.67313e-05,5.67313e-05
99,49162.7,0.93989,0.33395,1.18098,0.97338,0.98633,0.97739,0.69265,1.1269,0.39481,1.30223,4.25842e-05,4.25842e-05,4.25842e-05
100,49695.5,0.93932,0.33385,1.17947,0.97315,0.98633,0.97691,0.69238,1.12857,0.39281,1.30446,2.84371e-05,2.84371e-05,2.84371e-05
